id,tweet,cleanTweets
1282,Another College Student May Have Exposed Thousands to Measles http://nbcnews.to/PGl1iq,another college student may have exposed thousands to measles
1283,'Paralyzed Bride' Hopes To Become Mom http://nbcnews.to/1lLryWs,paralyzed bride hopes to become mom
1284,'Paralyzed Bride' Hopes To Become Mom http://nbcnews.to/OsdO4j,paralyzed bride hopes to become mom
1285,Kirstie Alley Joins Jenny Craig... Again http://nbcnews.to/1lLrB4D,kirstie alley joins jenny craig again
1286,Kirstie Alley joins Jenny Craig to lose weight — again http://on.today.com/1jnVGnD,kirstie alley joins jenny craig to lose weight again
1287,"Obamacare Lowers Uninsured Rate, Gallup Finds http://nbcnews.to/PFYfHn",obamacare lowers uninsured rate gallup finds
1288,#InLabor: Twitter Employee Live-Tweets Birth http://nbcnews.to/1h3KI77,in labor twitter employee live tweets birth
1289,"Fittest City? Boulder, Colo., Once Again Tops The List http://nbcnews.to/1gZIsxy",fittest city boulder colo once again tops the list
1290,"Fittest city? Boulder, Colo., once again tops the list http://on.today.com/1lzmfXP",fittest city boulder colo once again tops the list
1291,Gwyneth's Goal: Is Conscious Co-Parenting Possible? http://nbcnews.to/1gYTzH9,gwyneths goal is conscious co parenting possible
1292,Tyson Chicken Nuggets Recalled for 'Foreign Matter' http://nbcnews.to/1hpn93Z,tyson chicken nuggets recalled for foreign matter
1293,Lassa Fever Reported in U.S. Traveler to West Africa http://nbcnews.to/PzagxS,lassa fever reported in us traveler to west africa
1294,Dangerous Dust: Government Pushes to Improve Workplace Safety http://nbcnews.to/QMamn7,dangerous dust government pushes to improve workplace safety
1295,Feds Say 3 Million Now Have Medicaid Through Obamacare http://nbcnews.to/1jLpH1z,feds say number million nohave medicaid through obamacare
1296,Maps of Unborn Human Brains Point to Medical Frontiers http://nbcnews.to/1hcFrv3,maps of unborn human brains point to medical frontiers
1297,Facebook Post Saves Girl's Vision as 'Glow in the Eye' Raises Alarm  http://nbcnews.to/Px0Fry,facebook post saves girls vision as gloin the eye raises alarm
1298,"E-cig Rule Coming 'Very Soon,' FDA Chief Says http://nbcnews.to/1k7sFzV",e cig rule coming very soon fda chief says
1299,Three Die of Meningitis Outbreak in Los Angeles http://nbcnews.to/1hHqSOB,three die of meningitis outbreak in los angeles
1300,E-Cigarettes Poisonings Rise Sharply According to New Study http://nbcnews.to/1q08of1,e cigarettes poisonings rise sharply according to nestudy
1301,#AskNBCNews: Fort Hood Shooting Webcast http://nbcnews.to/Po153M,ask nbc news fohood shooting webcast
1302,Jacobs: PTSD Is a Subjective Evaluation http://nbcnews.to/1dVJ9s5,jacobs ptsd is a subjective evaluation
1303,Report: 5.4 Million Newly Insured Under Obamacare http://nbcnews.to/1h8FCrb,repo number million newly insured under obamacare
1304,"Vets, Docs Worry Fort Hood Shootings Will Deepen PTSD Stigma  http://nbcnews.to/1i4GgRP",vets docs worry fohood shootings will deepen ptsd stigma
1305,PTSD: Difficult Diagnosis 'Can Break an Individual' http://nbcnews.to/1h8CxY7,ptsd difficult diagnosis can break an individual
1306,Docs Cringe at Radio Jock's C-Section Suggestion http://nbcnews.to/1i4GfNN,docs cringe at radio jocks c section suggestion
1307,"E-Cigarette Poisonings Skyrocket, Mostly in Kids http://nbcnews.to/1j5lLYt",e cigarette poisonings skyrocket mostly in kids
1308,FDA Approves Handheld Opiate Antidote http://nbcnews.to/PqwFxx,fda approves handheld opiate antidote
1309,Wedding Dresses Become 'Angel Gowns' for Babies http://nbcnews.to/1jFlk86,wedding dresses become angel gowns for babies
1310,Radio Host Rips MLB Player's Paternity Leave http://nbcnews.to/1fzCJxJ,radio host rips mlb players paternity leave
1311,"Fertility Drugs Do Not Raise Breast Cancer Risk, Study Finds http://nbcnews.to/1pRNO0h",fertility drugs do not raise breast cancer risk study finds
1312,"Morning Light Could Be Key to Leaner Physique, Study Finds http://nbcnews.to/1hisTwa",morning light could be key to leaner physique study finds
1313,"Young and Fit? You'll Be Old and Sharp, Study Finds http://nbcnews.to/1jZOq4O",young and fit you will be old and sharp study finds
1314,Is Salt Healthy? Are Mammograms Useful? #AskNBCNews http://nbcnews.to/1s8H7ca,is salt healthy are mammograms useful ask nbc news
1315,Dr. Nancy Snyderman On New Salt Guidelines http://nbcnews.to/1pNla0a,dr nancy snyderman on nesalt guidelines
1316,We Complain About Being 'Too Busy' -- But Secretly We Like It http://nbcnews.to/1pNlbRU,we complain about being too busy but secretly we like it
1317,Snyderman: Early Mammogram Screenings Not Proven To Work http://nbcnews.to/1mzyYcU,snyderman early mammogram screenings not proven to work
1318,Salt Healthy? Mammograms Useful? Your Questions Answered  http://nbcnews.to/1pNl9cy,salt healthy mammograms useful your questions answered
1319,Circumcision Rate Falls Despite Health Risks http://nbcnews.to/1pRvJO3,circumcision rate falls despite health risks
1320,Close call: Tree trimmer survives chainsaw stuck in neck http://nbcnews.to/1pRrPoe http://pbs.twimg.com/media/BkO9RTECEAAsJES.jpg,close call tree trimmer survives chainsastuck in neck
1321,Circumcision as Vaccine? Public Health Risk Seen in Falling Rates http://nbcnews.to/1kt7BQm,circumcision as vaccine public health risk seen in falling rates
1322,"From Flight to Surgery, Scientists Mimic Nature's Tricks http://nbcnews.to/1h3jDSv",from flight to surgery scientists mimic natures tricks
1323,FDA Approves Under-The-Tongue Pill For Grass Allergy http://nbcnews.to/1ecoQl1,fda approves under the tongue pill for grass allergy
1324,Is Salt Healthy? Are Mammograms Useful? #AskNBCNews at 1:15 p.m. http://nbcnews.to/1ecoOd8,is salt healthy are mammograms useful ask nbc news at time
1325,Salt Shake-up? Too Much or Too Little Sodium May be Risky http://nbcnews.to/1h353KA,salt shake up too much or too little sodium may be risky
1326,Salt shake-up? Too much or too little sodium may be dangerous http://on.today.com/1h3515B,salt shake up too much or too little sodium may be dangerous
1327,Study: Marathons Might Be Bad For Your Heart http://nbcnews.to/1i2aWmG,study marathons might be bad for your hea
1328,Stem Cell Controversy Sets Back Japanese Science  http://nbcnews.to/1i2aWmw,stem cell controversy sets back japanese science
1329,"Moms Are Drinking Too Much, Experts Warn http://nbcnews.to/PiLlyR",moms are drinking too much experts warn
1330,"Mammography, Salt, Autism - #AskNBCNews' Dr. Nancy Snyderman http://nbcnews.to/1pQE9oE",mammography salt autism ask nbc news dr nancy snyderman
1331,Study: It May Be Safe to Consume More Salt http://nbcnews.to/1jAq0fo,study it may be safe to consume more salt
1332,"Video: Study Finds Mammogram Benefits Oversold, Harms Downplayed http://nbcnews.to/QDWFXu",video study finds mammogram benefits oversold harms downplayed
1333,Spider-Web Bandages: New Medicine Mimics Nature http://nbcnews.to/1pJoIP8,spider web bandages nemedicine mimics nature
1334,Victory Lap: Obama Says Health Care Law Is 'Here to Stay' http://nbcnews.to/1hxjeXd,victory lap obama says health care lais here to stay
1335,Obama Revels in 7 Million New Obamacare Enrollees http://nbcnews.to/1hxa0dq,obama revels in number million neobamacare enrollees
1336,Dr. Nancy Snyderman: What's Your Mammogram Risk? http://nbcnews.to/1omUkil,dr nancy snyderman whats your mammogram risk
1337,Mammogram Dilemma: Screening Depends on Personal Risk http://nbcnews.to/1iaXcHz,mammogram dilemma screening depends on personal risk
1338,Viral Meme 'Baby Suiting' Features Mini Moguls http://nbcnews.to/1pIo5pc,viral meme baby suiting features mini moguls
1339,White House: More Than 7 Million Signed Up For Obamacare http://nbcnews.to/1fLoHWi,white house more than number million signed up for obamacare
1340,RT @NBCNews: New research shows more kids are being bullied than previously thought. #AskNBCNews live webcast at 1:15 with more: http://t.c…,neresearch shows more kids are being bullied than previously thought ask nbc news live webcast at time with more
1341,U.S. Sends Team to Fight African Ebola Outbreak http://nbcnews.to/PewjtY,us sends team to fight african ebola outbreak
1342,#AskNBCNews: Your Bullying Questions Answered http://nbcnews.to/1dNOH7Y,ask nbc news your bullying questions answered
1343,The Duggars' 7 Rules of Courtship: 'Dating With a Purpose' http://nbcnews.to/1hZhkLr,the duggars number rules of courtship dating with a purpose
1344,Final Surge May Have Sent Obamacare Signups to 7 Million http://nbcnews.to/1mvD2L4,final surge may have sent obamacare signups to number million
1345,"It's Not Just 'Drama': Bullying Happens to Popular Teens, Too http://nbcnews.to/1gkowk3",its not just drama bullying happens to popular teens too
1346,Achoo! 10 Worst Cities for Spring Allergies http://nbcnews.to/1iV9x4z,achoo number worst cities for spring allergies
1347,"22 Pens, 47 Million Americans: Obamacare by the Numbers http://nbcnews.to/1he4yaM",number pens number million americans obamacare by the numbers
1348,'Out of Options': Veterans With PTSD Hit Pot Underground http://nbcnews.to/1jT62PH,out of options veterans with ptsd hit pot underground
1349,Music Therapy Hits the Right Notes for Patients http://nbcnews.to/1klbqae,music therapy hits the right notes for patients
1350,The Longest Wait: Maryland Residents Wait in Line for Last-Ditch Obamacare http://nbcnews.to/1ghQw85,the longest wait maryland residents wait in line for last ditch obamacare
1351,Weight-Loss Surgery Reverses Diabetes in Woman Battling Obesity http://nbcnews.to/1kkgVGb,weight loss surgery reverses diabetes in woman battling obesity
1352,Study Examines Cholesterol Levels in Children http://nbcnews.to/1kkgTy1,study examines cholesterol levels in children
1353,The Longest Wait: Maryland Residents Wait in LIne for Last-Ditch Obamacare http://nbcnews.to/1rZxFrJ,the longest wait maryland residents wait in line for last ditch obamacare
1354,'Happily Disgusted'? Computer Maps 21 Facial Expressions http://nbcnews.to/1pAy1mj,happily disgusted computer maps number facial expressions
1355,#AskNBCNews: Obamacare Deadline Day Questions http://nbcnews.to/1oiXSlz,ask nbc news obamacare deadline day questions
1356,Chuck Todd Crunches Obamacare Numbers http://nbcnews.to/O9gqnx,chuck todd crunches obamacare numbers
1357,Incoming Princeton Freshmen to Receive Meningitis Vaccine http://nbcnews.to/1kjQDno,incoming princeton freshmen to receive meningitis vaccine
1358,#AskNBCNews: Obamacare Deadline Day Questions http://nbcnews.to/1hsMFcM,ask nbc news obamacare deadline day questions
1359,Obamacare Website Freezes for a Second Time http://nbcnews.to/1jQEg6k,obamacare website freezes for a second time
1360,Snyderman on Measles Outbreak: Parents Should Be a Little Scared http://nbcnews.to/1hsqH9Q,snyderman on measles outbreak parents should be a little scared
1361,"Kids' School Plays Are Painful, Louis C.K. Jokes on 'SNL' http://nbcnews.to/1oiv0Kk",kids school plays are painful louis ck jokes on snl
1362,"Weight-Loss Surgery Can Reverse Diabetes for Some, Study Suggests http://nbcnews.to/1fGI5DI",weight loss surgery can reverse diabetes for some study suggests
1363,Who's Piling On? Procrastinators May Make or Break New Exchanges http://nbcnews.to/PaqrSA,whos piling on procrastinators may make or break neexchanges
1364,#AskNBCNews: Obamacare Deadline Day Questions http://nbcnews.to/1jrCl5w,ask nbc news obamacare deadline day questions
1365,Obamacare enrollment deadline arrives http://nbcnews.to/O8AM01,obamacare enrollment deadline arrives
1366,Child 'Leashes': Are They Helpful or Humiliating?  http://nbcnews.to/1ohLylF,child leashes are they helpful or humiliating
1367,Obamacare Website Fails as Deadline Arrives http://nbcnews.to/1ohLylx,obamacare website fails as deadline arrives
1368,Who's Piling On? Procrastinators May Make or Break New Exchanges http://nbcnews.to/1mo1Ep6,whos piling on procrastinators may make or break neexchanges
1369,One Day Left to Enroll in Obamacare http://nbcnews.to/1jNfPGV,one day left to enroll in obamacare
1370,The Emotional and Mental Toll on First Responders http://nbcnews.to/1hRkuAF,the emotional and mental toll on first responders
1371,Blood Test in ER May Help Rule Out Heart Attacks http://nbcnews.to/1hPTpOx,blood test in er may help rule out heaattacks
1372,"New Drugs Greatly Lower Cholesterol, Study Suggests http://nbcnews.to/1gdaj8B",nedrugs greatly lower cholesterol study suggests
1373,"Nonsurgical Fix Could Replace Open-Heart Surgery, Study Suggests http://nbcnews.to/1gQ0V0s",nonsurgical fix could replace open heasurgery study suggests
1374,Horrific Taboo: Female Circumcision on the Rise in U.S. http://nbcnews.to/1rTfiEz,horrific taboo female circumcision on the rise in us
1375,Senegal Shuts Border With Guinea to Prevent Ebola Spread http://nbcnews.to/1fzf2lr,senegal shuts border with guinea to prevent ebola spread
1376,Suspended Animation? Docs Try Stopping Clock to Save Lives http://nbcnews.to/1fzeZWN,suspended animation docs try stopping clock to save lives
1377,Texas Girl Improves Rapidly After Obesity Surgery http://nbcnews.to/P4trjq,texas girl improves rapidly after obesity surgery
1378,Dad's Special Effects Turn Toddler Son Into Superhero http://nbcnews.to/1hJyA79,dads special effects turn toddler son into superhero
1379,"Diet Drinks Linked With Heart Disease, Death http://nbcnews.to/1gMPaYN",diet drinks linked with headisease death
1380,"To Map the Brain, Researchers Create Video Games http://nbcnews.to/1jEJKkE",to map the brain researchers create video games
1381,Are You a Procrastinator? We Want To Hear From You. http://nbcnews.to/1mbg9MN,are you a procrastinator we want to hear from you
1382,"Married People Have Fewer Heart Problems, Study Finds http://nbcnews.to/1g7DdqD",married people have fewer heaproblems study finds
1383,Nutritionists pick these 5 Pinterest boards for your diet 'inspiration' http://on.today.com/1o7A1Fi,nutritionists pick these number pinterest boards for your diet inspiration
1384,Mom's Anguish Leads to Renewed Warnings of Window Blind Dangers http://nbcnews.to/1jXURkh,moms anguish leads to renewed warnings of windoblind dangers
1385,Early Start To Heart Disease? Veggies May Be Cure http://nbcnews.to/1jXUSVo,early stato headisease veggies may be cure
1386,Infographic: Autism Rate Soars in CDC Study http://nbcnews.to/1dzIhtb,infographic autism rate soars in cdc study
1387,"Autism is Diagnosed in 1 in 68 Children in the U.S., says CDC http://nbcnews.to/1phkDDm",autism is diagnosed in number in number children in the us says cdc
1388,MSU’s Adreian Payne: A ‘Superman’ to Young Cancer Patient http://nbcnews.to/1pAHTKS,msu s adreian payne a superman to young cancer patient
1389,Medical First: 3-D Printed Skull Successfully Implanted in Woman http://nbcnews.to/1hzzYcG,medical first number d printed skull successfully implanted in woman
1390,"RT @DrNancyNBCNEWS: India has done it.  3 yrs without #polio @who Time to tackle Nigeria, Pakistan, Afghanistan",india has done it number yrs without polio time to tackle nigeria pakistan afghanistan
1391,Dr. Nancy Snubs Out E-Cigarette Myths http://nbcnews.to/P7AiIo,dr nancy snubs out e cigarette myths
1392,"Young Mother, TODAY Guest, Loses Cancer Battle http://nbcnews.to/1hyHRz2",young mother today guest loses cancer battle
1393,White House Says 6 Million Now Signed Up For Health Insurance http://nbcnews.to/1hyHTXD,white house says number million nosigned up for health insurance
1394,"Autism Diagnoses Surge by 30 Percent in Kids, CDC Reports http://nbcnews.to/1fodcE7",autism diagnoses surge by number percent in kids cdc reports
1395,"So You Support Your Gay Teen, Great: You Still Have to Parent Them http://nbcnews.to/1g45iyW",so you suppoyour gay teen great you still have to parent them
1396,Mom's Harness Invention Gives Kids a Chance to Walk http://nbcnews.to/P5EnwR,moms harness invention gives kids a chance to walk
1397,Do I Really Have to Sign Up? Last-Minute Obamacare Answers http://nbcnews.to/1fmmBvM,do i really have to sign up last minute obamacare answers
1398,Scientists Unveil New 'Atlas' for Navigating Human Genome http://nbcnews.to/1g2ebJv,scientists unveil ne atlas for navigating human genome
1399,25 Drug Companies to Phase Out Animal Antibiotics http://nbcnews.to/1jLXdD0,number drug companies to phase out animal antibiotics
1400,Smartphone App Helps Recovering Alcoholics Stay Sober http://nbcnews.to/P2HJAN,smartphone app helps recovering alcoholics stay sober
1401,Loved One of TWA Crash Victim Shares Words of Hope http://nbcnews.to/P2HJkd,loved one of twa crash victim shares words of hope
1402,Loved One of TWA Crash Victim Shares Words of Hope http://nbcnews.to/1p7YCHa,loved one of twa crash victim shares words of hope
1403,Brain Study Suggests Autism Starts Before Birth http://nbcnews.to/1p7Yx6p,brain study suggests autism starts before birth
1404,"Take your half-marathon selfies, but don't be a jerk about it http://on.today.com/P1Tnf6",take your half marathon selfies but do not be a jerk about it
1405,"One in 25 Infected in U.S. Hospitals, Report Finds  http://nbcnews.to/P1Tp6A",one in number infected in us hospitals repofinds
1406,What Gwyneth Paltrow Means by 'Conscious Uncoupling' http://nbcnews.to/1gBUDBt,what gwyneth paltromeans by conscious uncoupling
1407,What is Paltrow-cited 'Conscious Uncoupling'? http://nbcnews.to/P0C0LM,what is paltro cited conscious uncoupling
1408,Photographer Pushes For More Ads Showing Kids With Disabilities http://nbcnews.to/1fiNi4B,photographer pushes for more ads showing kids with disabilities
1409,"Ab-friendly meals: Avocado-stuffed chicken, bagel sandwich, portobello mushroom caps http://on.today.com/1dqtKQx",ab friendly meals avocado stuffed chicken bagel sandwich portobello mushroom caps
1410,"As Deadline Nears, Obamacare Enrollees Can Get More Time http://nbcnews.to/1fhhywB",as deadline nears obamacare enrollees can get more time
1411,Will Supreme Court's Obamacare Ruling Affect You? http://nbcnews.to/1fgcclo,will supreme cous obamacare ruling affect you
1412,Polio Confirmed in Iraq as Disease Spreads http://nbcnews.to/1jrUTFr,polio confirmed in iraq as disease spreads
1413,Stem Cells Shed Light on Bipolar Disorder http://nbcnews.to/1ffN91N,stem cells shed light on bipolar disorder
1414,Stem Cells Shed Light On Bipolar Disease http://nbcnews.to/1ffGpku,stem cells shed light on bipolar disease
1415,"If You Lived in This City, You Might Be Happier Already http://nbcnews.to/1jrtXFC",if you lived in this city you might be happier already
1416,Hobby Lobby Founder: Company Built on Faith http://nbcnews.to/Qcs0QB,hobby lobby founder company built on faith
1417,Supreme Court Hears Argument on Charged Obamacare Case http://nbcnews.to/1jrk4aX,supreme couhears argument on charged obamacare case
1418,Supreme Court Hears Argument on Charged Obamacare Care http://nbcnews.to/1ljMqnA,supreme couhears argument on charged obamacare care
1419,Protesters Rally as Supreme Court Hears Case on Obamacare and Religion http://nbcnews.to/1hm3BOu,protesters rally as supreme couhears case on obamacare and religion
1420,Mobile Dad App Helps Military Fathers Stay Connected With Family http://nbcnews.to/1hlcDLv,mobile dad app helps military fathers stay connected with family
1421,"32 Million Underinsured in U.S., Report Finds http://nbcnews.to/1jztNYH",number million underinsured in us repofinds
1422,"Air Pollution Kills 7 Million a Year, WHO Says http://nbcnews.to/1gTbZnF",air pollution kills number million a year who says
1423,"Text Message to Passenger Families a 'Secondary Trauma,' Grief Experts Say http://nbcnews.to/1rq5t0F",text message to passenger families a secondary trauma grief experts say
1424,"Marijuana May Ease Some Symptoms of MS, New Guidelines Find http://nbcnews.to/1jxEvPo",marijuana may ease some symptoms of ms neguidelines find
1425,Firefighters Sing 'Let it go' to Soothe Girl Stuck in Elevator http://nbcnews.to/1fbgRVJ,firefighters sing let it go to soothe girl stuck in elevator
1426,Ebola Outbreak in Guinea May Spread  http://nbcnews.to/1lh7tHl,ebola outbreak in guinea may spread
1427,Transgender Teacher Returns to School a Woman http://nbcnews.to/1guvsRt,transgender teacher returns to school a woman
1428,Moms Who Drink: How Much Is Too Much? http://nbcnews.to/1rnf20i,moms who drink homuch is too much
1429,"Mood Drug May Prevent Some Cancer, Study Finds http://nbcnews.to/1ith2PX",mood drug may prevent some cancer study finds
1430,'Relax and You'll Get Pregnant' May be True for Some: Study http://nbcnews.to/1jkSJav,relax and you will get pregnant may be true for some study
1431,"'Superbug' TB Sickens 32,000 Kids Each Year, Analysis Finds http://nbcnews.to/1fSOI57",superbug tb sickens number kids each year analysis finds
1432,Guinea Officials Scramble to Contain Ebola Outbreak http://nbcnews.to/1gfZozx,guinea officials scramble to contain ebola outbreak
1433,A dementia that rivals Alzheimer's strikes before age 65 http://nbcnews.to/1hbKwyi,a dementia that rivals alzheimers strikes before age number
1434,"Ebola Kills As Many As 59 in Guinea, Experts Confirm  http://nbcnews.to/1is07NF",ebola kills as many as number in guinea experts confirm
1435,Fashioning Cancer: Project Creates Ball Gowns Inspired by Cells http://nbcnews.to/NF05qk,fashioning cancer project creates ball gowns inspired by cells
1436,Texas Parents Introduce Their 5 Newborns http://nbcnews.to/1oL1SrK,texas parents introduce their number newborns
1437,Teen Scientist Researches New Flu Drugs http://nbcnews.to/1oL1Ujn,teen scientist researches neflu drugs
1438,Texas Girl Recovering After Obesity Surgery Switch http://nbcnews.to/1nL3KDX,texas girl recovering after obesity surgery switch
1439,Supreme Court Takes Up Dispute Over Obamacare and Religion http://nbcnews.to/OFClUj,supreme coutakes up dispute over obamacare and religion
1440,Viral Video Inspires Moms Expecting Babies With Down Syndrome http://nbcnews.to/1oFF9xg,viral video inspires moms expecting babies with down syndrome
1441,Docs Forced to Alter Surgery Plans For Obese Girl  http://nbcnews.to/1gPyCh2,docs forced to alter surgery plans for obese girl
1442,Mom Sets Guinness World Record for Breast Milk Donation  http://nbcnews.to/1gPrukP,mom sets guinness world record for breast milk donation
1443,Shailene Woodley's 'Divergent' Ideas on Health http://nbcnews.to/1jgng4Q,shailene woodleys divergent ideas on health
1444,Surgery Begins for Texas Girl Battling Rare Obesity http://nbcnews.to/1gOBcEc,surgery begins for texas girl battling rare obesity
1445,'So Happy': Insurer Will Pay for Texas Girl's Obesity Surgery http://nbcnews.to/1r4v674,so happy insurer will pay for texas girls obesity surgery
1446,"Hope for Alexis: Texas Girl, 12, Finally Gets Obesity Surgery http://nbcnews.to/1r4v5QK",hope for alexis texas girl number finally gets obesity surgery
1447,Health Dangers Prompt Louisiana to Ban Synthetic Marijuana http://nbcnews.to/1jdVh5T,health dangers prompt louisiana to ban synthetic marijuana
1448,"Bullied Boy Can Return with 'Pony' Backpack, School Says http://nbcnews.to/1hKelrd",bullied boy can return with pony backpack school says
1449,Bullied boy may return to school with 'My Little Pony' backpack http://nbcnews.to/1eX8Vai,bullied boy may return to school with my little pony backpack
1450,"After a 'Long Ride,' Quintuplets Born to Texas Family http://nbcnews.to/1nHr9pI",after a long ride quintuplets born to texas family
1451,"Everything Is Better in the Sun, Studies Confirm http://nbcnews.to/1nHraKl",everything is better in the sun studies confirm
1452,My #FirstTweet: Turns out to have been the H1N1 pandemic. https://twitter.com/maggiemfox/statuses/1580629768. What was yours? http://first-tweets.com,my first tweet turns out to have been the h1n1 pandemic what was yours
1453,Tuberculosis Hits All-Time Low in the U.S. http://nbcnews.to/1nH0XLY,tuberculosis hits all time loin the us
1454,Rue That Tattoo? Laser Removal Takes Off   http://nbcnews.to/1hGHOSX,rue that tattoo laser removal takes off
1455,"Hope for Alexis: Texas Girl, 12, Finally Gets Obesity Surgery http://nbcnews.to/1qYrGCO",hope for alexis texas girl number finally gets obesity surgery
1456,"Tubs OK for Labor, But Not Birth, Docs Advise http://nbcnews.to/1d2bEny",tubs ok for labor but not birth docs advise
1457,"School Backs 'My Little Pony' Bullies, Parents Say http://nbcnews.to/1hE0UsQ",school backs my little pony bullies parents say
1458,Where should Michelle Obama and her daughters go while in China? A few ideas: http://nbcnews.to/1iEMFa5,where should michelle obama and her daughters go while in china a feideas
1459,Warming Hearts and Heads: Student Knits Hats for Preemies http://nbcnews.to/1gcuTf0,warming hearts and heads student knits hats for preemies
1460,Some Vets With Brain Injury Can't Control Laughing or Tears http://nbcnews.to/1hDt2wp,some vets with brain injury can not control laughing or tears
1461,Video: Families find comfort in tiny hats for preemies http://nbcnews.to/1eninXJ,video families find comfoin tiny hats for preemies
1462,"NRA 'Blackmail' Must Stop, Top Journal Says http://nbcnews.to/1ii0OsK",nra blackmail must stop top journal says
1463,"Hug More, Scold Less: Strict Parenting Linked to Child Obesity http://nbcnews.to/1gRiPLd",hug more scold less strict parenting linked to child obesity
1464,Artist Helps Sick Kids Live Their Dreams Through Fantasy Photos http://nbcnews.to/1lP8Qdv,artist helps sick kids live their dreams through fantasy photos
1465,You're Not Alone: Many Believe Medical Conspiracies http://nbcnews.to/OBGR5H,you are not alone many believe medical conspiracies
1466,Top Cancer Centers Off-Limits Under Obamacare http://nbcnews.to/1ekORSA,top cancer centers off limits under obamacare
1467,Infographic: The Coming Alzheimer's Crisis http://nbcnews.to/1eRvFbL,infographic the coming alzheimers crisis
1468,"Bossy backlash: Girls ARE bossy, and that's OK http://nbcnews.to/1lNckNR",bossy backlash girls are bossy and thats ok
1469,"Alzheimer's Hits Women Hardest, Report Finds http://nbcnews.to/1eQyXfr",alzheimers hits women hardest repofinds
1470,Senators Press VA to Explain Delay in Burn Pit Registry  http://nbcnews.to/PNkD1S,senators press va to explain delay in burn pit registry
1471,New Stool Test Better at Detecting Cancer http://nbcnews.to/1gMlmGv,nestool test better at detecting cancer
1472,Fried Food More Dangerous If You Have the Wrong Genes http://nbcnews.to/1ifQ1Q1,fried food more dangerous if you have the wrong genes
1473,Mom Adds Sandbox to Baby's Grave so Brother Can 'Play' With Him http://nbcnews.to/1iZHEvm,mom adds sandbox to babys grave so brother can play with him
1474,A Girl And Her Bulldog: Mom's Photos Show 'Sibling' Bonding http://nbcnews.to/1j17lqU,a girl and her bulldog moms photos sho sibling bonding
1475,Could School Testing Be Driving ADHD? http://nbcnews.to/1l0vlik,could school testing be driving adhd
1476,"Learn Baby's Gender in Advance, Or Wait 'Till Birth? http://nbcnews.to/1g6JGYx",learn babys gender in advance or wait till birth
1477,"Princeton Meningitis Strain Killed Drexel Student, CDC Says http://nbcnews.to/1iZ8aos",princeton meningitis strain killed drexel student cdc says
1478,Gluten Unmasked: Dr. Nancy Debunks Pesky Protein http://nbcnews.to/Os5z8U,gluten unmasked dr nancy debunks pesky protein
1479,The Littlest Donors: Neonatal Organ Donation Offers Hope In Tragedy http://nbcnews.to/OxCCby,the littlest donors neonatal organ donation offers hope in tragedy
1480,Your Facebook Status Just May Be Contagious http://nbcnews.to/1gHiTNg,your facebook status just may be contagious
1481,Mumps Outbreak at Ohio State Widens  http://nbcnews.to/1gHiTwM,mumps outbreak at ohio state widens
1482,"Archaeologists Find 3,200-Year-Old Human Skeleton With Cancer http://nbcnews.to/1p5ssKu",archaeologists find number year old human skeleton with cancer
1483,"Could Malaysia Airlines jet have landed? Unlikely but possible, experts say  http://nbcnews.to/OwtOmc",could malaysia airlines jet have landed unlikely but possible experts say
1484,Last-Minute Surge: Five Million Now Signed Up for Obamacare http://nbcnews.to/1gvVXjB,last minute surge five million nosigned up for obamacare
1485,What a Headache: $1 Billion in Brain Scans http://nbcnews.to/1gvVXjv,what a headache money billion in brain scans
1486,Last-Minute Surge: Five Million Now Signed Up for Obamacare http://nbcnews.to/OwtC6w,last minute surge five million nosigned up for obamacare
1487,Bioethicist: Surgeon General Nominee is Right - Guns Are a Public Health issue http://nbcnews.to/1oiaK8c,bioethicist surgeon general nominee is right guns are a public health issue
1488,Desperate Families Seek Special Pot Treatment for Kids http://nbcnews.to/1oiaHcx,desperate families seek special pot treatment for kids
1489,Study to Check Chocolate-in-a-Pill Benefits http://nbcnews.to/1iVeugP,study to check chocolate in a pill benefits
1490,"The New Coming-Out Speech: on YouTube, Met With Hugs and Yawns http://nbcnews.to/1oiaHZZ",the necoming out speech on youtube met with hugs and yawns
1491,Why Do Your Eyes Get Red When You're Tired? http://nbcnews.to/1nxEilg,why do your eyes get red when you are tired
1492,"ADHD Treatment May Be Tied to Obesity, Study Suggests http://nbcnews.to/1nwCDw6",adhd treatment may be tied to obesity study suggests
1493,Girl Born in India With Two Heads Sent to New Delhi for Care http://nbcnews.to/1gomqze,girl born in india with two heads sent to nedelhi for care
1494,College Student's Death Sparks Call for Wider Use of Vaccine http://nbcnews.to/1o6FqsP,college students death sparks call for wider use of vaccine
1495,Health Insurance Rights for Same-Sex Couples Clarified http://nbcnews.to/NeN9HJ,health insurance rights for same sex couples clarified
1496,Feds Extend High-Risk Insurance Pools http://nbcnews.to/1iKgqsp,feds extend high risk insurance pools
1497,Tom Arnold on losing 100 pounds: My son saved my life http://nbcnews.to/1gjsBET,tom arnold on losing number pounds my son saved my life
1498,Twins' Fate Highlights Anguish of Syrian Refugees http://nbcnews.to/1gjsyZJ,twins fate highlights anguish of syrian refugees
1499,New Pacemaker Can Be Inserted Without Surgery http://nbcnews.to/1iK80RP,nepacemaker can be inserted without surgery
1500,Chimp Attack Victim Fights For Her Day In Court http://nbcnews.to/1iKgt7v,chimp attack victim fights for her day in cou
