emotion,emo,file,au1,au2,au3,au4,au5,au6,au7,au8,au9,au10,au11,au12,au13,au14,au15,au16,au17,auc1,auc2,auc3,auc4,auc5,auc6,auc7,auc8,auc9,auc10,auc11,auc12,auc13,auc14,auc15,auc16,auc17,auc18
neutral,2,04970.jpg,3.38,0.17,0.4,0,0.7,1.62,0,1.95,1.16,0.5,0.74,1.14,0.77,0,1.25,0.64,0.03,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
happiness,0,04971.jpg,1.71,0,0.31,0.03,0.88,1.24,0,1.46,1.86,0.78,0,0.7,0.36,0,1.43,0.58,0.03,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
happiness,0,04972.jpg,0.97,0,0,0.34,0.71,0.5,0,0.75,1.5,1.2,0,0.42,0.36,0,1.31,0.17,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
neutral,2,04973.jpg,0.67,0.31,0.42,0.66,1.01,0.75,0,0.53,1.71,1.01,0.19,0.5,0.02,0.31,1.64,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
neutral,2,04974.jpg,0.67,0.31,0.48,0.63,1.6,1.68,0,1.11,1.83,0.94,0.19,0.64,0.27,0.51,1.4,0.43,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,04975.jpg,0.54,0.31,0.84,0.32,2.02,2.3,0,1.69,2.23,1.41,0.19,0.94,0.73,1.14,1.48,0.71,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,04976.jpg,0,0,0.71,0,2.49,3.1,0,2.27,2.33,1.71,0,0.63,0.83,0.83,1.54,0.71,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,04977.jpg,0.63,0.03,0.76,0.2,1.55,2.18,0,1.53,1.41,1.19,0,0.86,0.58,0.64,2.13,1.23,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0
surprise,4,04978.jpg,0.98,0.03,0.86,0.2,1.25,2.55,0,1.74,1.44,0.66,0.19,1.11,0.12,0,2.64,1.96,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
happiness,0,04979.jpg,1.14,0.03,1.35,0.2,0.18,2.17,0,0.99,0.54,0.36,0.4,1.9,0,0.14,1.75,2.31,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
neutral,2,04980.jpg,0.68,0,1.24,0,0.18,2.17,0,1.24,0.54,0.36,0.4,1.88,0.46,0.14,1.26,1.55,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
neutral,2,04981.jpg,0.33,0,0.81,0.48,0.52,1.55,0,0.82,0.93,0.31,0.21,1.3,0.56,0.35,1.31,0.54,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
happiness,0,04982.jpg,0.17,0,0.2,0.48,0.47,0.71,0,0.81,0.93,0.35,0,0.82,0.56,0.2,1.55,0.2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,04983.jpg,0,0.06,0.28,0.48,0.97,1.6,0.27,1.07,1.32,1.17,0,1.29,0.1,0.2,1.14,0.44,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
happiness,0,04984.jpg,0.2,0.39,0.39,0,0.5,1.22,0.27,0.91,0.39,0.86,0,1.62,0.35,0.27,0.49,0.44,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,04985.jpg,0.45,0.4,0.51,0,0.5,0.89,0.27,1.08,0.39,0.93,0,1.94,0.41,0.77,0.6,0.86,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,04986.jpg,0.45,0.35,0.75,0.45,0.01,0,0,0.92,0.3,0.71,0,1.41,0.41,0.88,0.35,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
happiness,0,04987.jpg,0.3,0.01,1.28,0.45,0.25,0.52,0,0.76,0.3,0.82,0.67,1.59,0.34,0.62,0.35,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,2,04988.jpg,0.05,0,0.98,0.45,0.25,0.52,0,0.39,0.3,0.72,0.9,1.11,0.28,0.11,0.04,0.79,1.02,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,2,04989.jpg,0.05,0,0.7,0,0.87,0.52,0.35,0.67,0.55,0.57,1.03,1.03,0.28,0,0.51,0.21,1.11,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
happiness,0,04990.jpg,0,0,0.28,0.31,0.78,0.05,0.35,0.74,0.69,0.91,0.47,0.37,0.3,0,1.14,0.23,1.37,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
happiness,0,04991.jpg,0,0,0.34,0.31,1.81,0.8,0.6,1.06,1.36,1.28,0.23,0.22,0.3,0,1.94,0.03,0.43,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0
happiness,0,04992.jpg,0,0.17,0.3,0.31,1.72,1.1,0.25,0.81,1.41,0.83,0.35,0,0.3,0,2.31,0.43,0.35,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,04993.jpg,0.02,0.83,0.06,0.11,2.05,1.61,0.25,1,2.3,0.51,0.25,0.18,0.12,0.75,2.54,0.69,0.1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,04994.jpg,0.72,1.43,0.15,0.15,1.02,0.86,0,1.4,1.78,0.65,0.25,0.35,0.12,0.75,1.76,0.68,0.01,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
surprise,4,04995.jpg,0.72,1.26,0.48,0.22,0.54,0.55,0,1.3,1.28,0.65,0.02,0.41,0.12,0.75,0.91,0.64,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
neutral,2,04996.jpg,1.24,0.6,0.63,0.2,0.37,0.49,0,1.75,0.61,0.51,0.02,0.28,0,0,0.24,0.57,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
neutral,2,04997.jpg,0.53,0,0.66,0.21,0.46,0.49,0,1.5,0.73,0.05,0.21,0.58,0.31,0,0.79,0.95,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
surprise,4,04998.jpg,1.38,0,0.33,0.15,0.4,0.72,0,1.8,0.63,0.26,0.2,0.96,0.44,0,1.12,1.31,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sadness,3,04999.jpg,0.85,0,0.24,0.06,0.09,0.6,0,1.13,0.44,1.33,0.63,1,0.71,0.28,1.21,1.11,0.05,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
happiness,0,05000.jpg,0.85,0,0.07,0.19,0.12,0.6,0,0.95,0.33,2.15,0.46,1.24,0.54,0.66,0.6,0.9,0.05,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
happiness,0,05001.jpg,0,0,0.78,0.17,0.17,0.37,0,0.68,0.48,2.85,1.03,1.06,0.83,0.66,1.23,0.84,0.4,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
surprise,4,05002.jpg,0,0,0.71,0.17,0.38,0.14,0,0.68,0.78,2.68,0.6,1.11,0.84,0.38,1.5,1.01,0.53,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
happiness,0,05003.jpg,0,0.13,0.71,0,0.26,0.14,0,0.42,0.66,1.82,0.57,0.93,0.71,0,1.67,0.98,0.53,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
neutral,2,05004.jpg,0,0.13,0.22,0,0.27,0.14,0,0.11,0.5,0.91,0,1.01,0.54,0,0.72,0.5,0.13,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
neutral,2,05005.jpg,0.04,0.13,0.22,0.45,0.06,0,0,0.05,0.04,0.17,0.17,1.04,0.41,0,0.7,0.63,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
neutral,2,05006.jpg,0.04,0,0.22,0.45,0.23,0.38,0,0.01,0.12,0.38,0.17,0.72,0.41,0,0.9,1.38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
happiness,0,05007.jpg,0.06,0,0,0.45,0.17,0.67,0,0.01,0.12,0.38,0.17,0.74,0.14,0,1.4,2.09,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
neutral,2,05008.jpg,0.03,0,0,0,0.44,0.85,0,0.63,0.83,0.96,0,0.57,0,0,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
happiness,0,05009.jpg,1.22,0.11,0.01,0.06,0.28,0.47,0,1.14,1.02,0.91,0.34,0.81,0.27,0,1.78,1.21,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
neutral,2,05010.jpg,1.56,0.11,0.01,0.06,0.48,0.18,0,1.43,1.02,1.09,0.47,0.81,0.45,0,1.44,0.84,0.32,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
neutral,2,05011.jpg,1.8,0.38,0.01,0.06,0.59,0.33,0,1.38,1.11,0.43,0.61,0.81,0.45,0,1.31,0.74,0.36,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
happiness,0,05012.jpg,1.28,0.54,0.09,0,0.63,1.08,0,0.96,1.12,0.27,0.74,0.65,0.68,0,1.1,0.63,0.53,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
neutral,2,05013.jpg,1.67,0.75,0.36,0,1.4,2.05,0.25,1.5,2.12,0.35,0.99,0.44,0.72,0,1.43,0.09,0.22,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
happiness,0,05014.jpg,1.92,1.32,0.57,0,1.31,2.74,0.32,1.34,1.85,1.1,1.05,1.03,0.9,0,0.67,0.09,0.66,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
neutral,2,05015.jpg,1.25,1.05,0.48,0,1.3,2,0.32,1.29,1.6,1.68,0.57,1.02,0.39,0.03,0.62,0,0.69,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
neutral,2,05016.jpg,0.5,0.83,0.93,0,1.1,1.53,0.07,1.11,1.5,1.93,0.2,0.88,0.18,0.03,1.28,0,0.69,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
happiness,0,05017.jpg,0.51,0,0.72,0.02,1.35,0.51,0,0.78,1.45,1.44,0.61,0.81,0.59,0.03,1.52,0.37,0.2,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
happiness,0,05018.jpg,0.71,0.02,0.72,0.02,1.6,1.04,0,0.84,2.44,1.13,0.61,0.52,0.59,0,2.42,0.37,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05019.jpg,1.67,0.24,0.45,0.02,0.83,0.53,0,0.2,1.92,0.76,0.61,0.64,0.59,0,1.28,0.62,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
neutral,2,05020.jpg,1.16,0.24,0.57,0,0.92,1.22,0.72,0.66,2.03,0.91,0.34,0.12,0.11,0,1.45,0.25,0.02,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05021.jpg,1.03,0.22,0.57,0,0.66,0.69,0.72,0.55,1.11,0.73,0.37,0.16,0.11,0,1.05,0.25,0.02,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05022.jpg,0.32,0.18,0.27,0,0.73,1.1,0.72,0.56,0.92,0.81,0.37,0.48,0.11,0.07,1.22,0.05,0.02,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
neutral,2,05023.jpg,0.32,0.18,0.15,0,0.82,1.24,0,0.8,1.33,1.09,0.17,0.56,0,0.07,1.44,0.07,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05024.jpg,0.6,0.18,0.15,0,1.01,1.62,0,1.05,1.75,1.42,0.14,0.52,0,0.07,2.17,0.07,0.35,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05025.jpg,1.24,0.02,0,0.05,1.02,1.63,0,1.04,1.82,1.2,0.14,0.51,0,0,2.35,0.02,0.35,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05026.jpg,2.22,0.21,0,0.05,0.47,0.79,0.03,0.27,1.54,0.9,0,1,0,0,2.2,0.75,0.35,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05027.jpg,2.21,0.21,0,0.05,0.71,0.48,0.03,0.47,1.96,0.94,0.09,1.05,0,0,1.57,0.79,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05028.jpg,1.59,0.18,0.15,0,1.21,0.62,0.03,1.04,2.65,1.18,0.38,0.63,0,0,2.15,0.79,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05029.jpg,0.6,0,0.16,0,1.39,1.27,0,1.52,2.69,1.14,0.44,0.05,0,0,2.38,0.03,0.07,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05030.jpg,0.28,0,0.16,0,1.65,2.23,0.17,2.26,2.36,0.95,0.83,0.45,0,0,2.8,0.22,0.07,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05031.jpg,0.42,0.04,0.07,0,1.59,2.57,0.17,2.05,1.86,0.71,0.54,0.62,0,0,3.03,0.65,0.08,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05032.jpg,0.42,0.04,0.06,0.3,1.56,2.01,0.17,1.89,1.68,0.55,0.5,0.9,0.39,0.66,2.18,1.03,0.01,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05033.jpg,0.42,0.16,0.15,0.39,0.84,0.98,0,0.7,1.19,0.29,0.02,0.86,0.39,1,1.54,0.94,0.01,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,0,05034.jpg,0,0.11,0.33,0.39,1.37,0.95,0,0.72,1.71,0.77,0.02,0.68,0.39,1,1.6,0.84,0.36,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,0,05035.jpg,0,0.11,0.35,0.09,1.53,1.66,0,0.75,1.8,0.91,0,0.41,0,0.92,1.6,1.01,0.36,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
neutral,2,05036.jpg,0.43,0.56,0.62,0.36,1.67,2.03,0,1.02,1.79,1.08,0.1,0.36,0,1.19,1.21,1.11,0.5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
neutral,2,05037.jpg,0.64,0.76,1.03,0.36,0.89,1.22,0,0.81,0.82,1.12,0.1,0.56,0,1.34,0,1.4,0.29,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
neutral,2,05038.jpg,0.64,0.76,1.18,0.37,0.85,1.14,0.08,0.92,0.77,1.3,0.1,1,0,0.92,0.29,1.52,0.29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
happiness,0,05039.jpg,0.21,0.2,0.82,0,0.87,0.87,0.39,0.64,0.91,1.36,0,0.86,0,0.56,0.29,1.68,0.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
happiness,0,05040.jpg,0,0,0.3,0,0.62,0.89,0.39,0.48,0.97,0.85,0,0.81,0,0.55,0.73,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
neutral,2,05041.jpg,0,0,0.3,0.02,0.16,0.18,0.37,0,0.34,0.24,0,0.36,0,0.39,1.24,2.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
neutral,2,05042.jpg,0,0,0.98,0.08,0.22,1.09,0.06,0,0.06,0,0.2,0.55,0,0.14,1.46,2.22,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
neutral,2,05043.jpg,1.37,0.5,0.84,0.08,0.38,1.21,0.06,0.24,0.53,0.32,0.44,0.66,0,0,1.01,1.45,1.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
neutral,2,05044.jpg,1.84,1.01,0.91,0.07,0.65,1.21,0,0.79,0.98,1.2,0.44,0.66,0,0,0.93,0.7,1.29,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
happiness,0,05045.jpg,1.84,1.16,0.23,0,0.43,0.21,0,1.07,1.39,1.68,0.24,0.26,0,0,1.27,0.38,1.14,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
happiness,0,05046.jpg,0.67,0.67,0.66,0,0.92,0.58,0,1.43,1.58,1.98,0,0,0,0,1.77,0.22,0.81,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
happiness,0,05047.jpg,0.2,0.15,0.9,0,0.65,0.58,0,1.01,1.15,1.12,0,0,0,0.21,1.05,0.33,0.53,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
neutral,2,05048.jpg,0.46,0.26,1.39,0,0.83,0.67,0,0.86,1.19,0.82,0,0.53,0,1.06,0.49,0.52,0.17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sadness,3,05049.jpg,0.98,0.33,1.05,0.1,0.22,0.21,0,0.61,0.46,0.2,0,1.08,0,1.06,0.43,0.83,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
neutral,2,05050.jpg,2.09,0.33,1.19,0.22,0.34,0.8,0,0.48,0.45,0.19,0.19,1.35,0.19,0.86,0.43,0.9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sadness,3,05051.jpg,2.88,0.47,0.7,0.42,0.16,0.72,0,0.54,0.02,0,0.19,0.82,0.19,0,0.5,1.13,0.17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
neutral,2,05052.jpg,2.6,0.41,0.77,0.32,0.38,1.09,0,0.41,0.27,0.37,0.37,1.09,0.19,0,0.07,1.12,0.17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
happiness,0,05053.jpg,1.48,0.57,0.18,0.21,0.26,0.5,0,0.41,0.27,0.37,0.22,0.85,0,0,0.33,1.26,0.17,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
neutral,2,05054.jpg,0.92,0.16,0.19,0,1.14,0.5,0,1.07,1.41,0.56,0.22,1.36,0.26,0,0.82,1.34,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
happiness,0,05055.jpg,0.48,0.16,0.01,0.17,1.71,0.81,0,1.1,1.47,0.36,0.27,1.34,1.29,0.4,0.98,0.99,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
sadness,3,05056.jpg,0.52,0,0.01,0.24,2.18,0.84,0,1.43,2.12,0.36,0.24,1.32,1.85,0.5,1.15,0.67,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
happiness,0,05057.jpg,0.06,0,0,0.24,1.3,0.91,0,0.59,0.96,0.28,0.24,0.91,1.63,0.81,0.66,0.58,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
neutral,2,05058.jpg,0.06,0,0,0.07,0.52,0.61,0,0.33,0.91,0.68,0,0.1,0.63,0.41,0.9,0.84,0.2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
happiness,0,05059.jpg,0.02,0,0,0.4,0.05,0.59,0,0,0.77,0.7,0,0.31,0.07,0.95,0.76,0.7,0.2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
happiness,0,05060.jpg,0,0,0,0.44,0.05,0.69,0,0,1.08,0.77,0,0.6,0.03,0.98,0.94,0.77,0.2,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
happiness,0,05061.jpg,0.12,0.34,0,0.44,0.28,0.46,0,0.43,1.73,0.9,0,0.6,0,0.98,1.11,0.9,0.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
happiness,0,05062.jpg,0.34,0.54,0,0.04,0.28,0.46,0,0.43,1.47,1.21,0,0.39,0.07,0.47,1.22,1.1,0.25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
neutral,2,05063.jpg,0.34,0.65,0.07,0,0.52,0.66,0,0.48,1.75,1.62,0,0,0.07,0.19,1.72,1.17,0.47,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
happiness,0,05064.jpg,0.22,0.31,0.07,0.05,0.24,0.37,0,0.05,0.84,1.11,0,0.32,0.07,0.35,1.14,1.1,0.38,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
neutral,2,05065.jpg,0.15,0.11,0.86,0.05,0.65,1.08,0.02,0.34,0.61,1.14,0.23,0.75,0.35,0.23,0.87,0.96,0.38,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
neutral,2,05066.jpg,0.15,0,0.92,0.05,1.31,0.71,0.17,1.26,0.88,1.29,0.23,0.89,0.76,0.16,0.38,0.41,0.16,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1
happiness,0,05067.jpg,0.15,0,0.99,0,1.63,0.71,0.17,1.51,1.02,1.54,0.79,1.41,1.02,0.32,0.38,0.44,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1
neutral,2,05068.jpg,0,0,0.2,0,1.38,1.15,0.44,1.47,1.28,1.23,0.58,1.76,0.66,0.39,0.26,0.35,0.13,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
neutral,2,05069.jpg,0.01,0,0.08,0,0.48,1.15,0.43,0.5,0.41,0.78,1.03,1.87,0.26,0.39,0,0.35,0.13,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
neutral,2,05070.jpg,0.72,0,0,0,0.22,1.15,0.43,0.48,0.65,0.34,0.47,1.19,0,0.07,0,0,0.13,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
neutral,2,05071.jpg,1.46,0.24,0,0,0.5,0.39,0.65,0.64,0.8,0.29,0.45,0.43,0,0,0,0.02,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
neutral,2,05072.jpg,1.45,0.24,0.46,0,0.66,1.46,1.16,1.36,1.26,0.11,0,0.79,0,0,0,0.02,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1
neutral,2,05073.jpg,0.74,0.24,0.46,0,1.17,1.88,1.9,1.91,1.19,0.7,0,1.35,0,0,0.03,0.22,0.19,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
happiness,0,05074.jpg,0,0,0.46,0,1.22,1.48,1.49,2.12,1.33,1.53,0.12,1.78,0,0,0.22,0.2,0.19,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
happiness,0,05075.jpg,0,0,0,0,1.06,0.42,0.83,1.4,0.88,1.42,0.12,1.17,0,0,0.22,0.2,0.19,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
happiness,0,05076.jpg,0.83,0.2,0,0,0.73,0,0.1,1.33,1.01,0.93,0.12,0.45,0,0,1.05,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
happiness,0,05077.jpg,0.83,0.2,0,0,0.9,0.24,0.03,1.33,1.03,1.26,0,0.35,0,0,1.22,0,0.18,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
happiness,0,05078.jpg,1.52,0.54,0,0,1.24,1.09,0.15,1.57,1.49,1.26,0,0.46,0,0,1.36,0,0.18,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
happiness,0,05079.jpg,1.68,0.86,0,0,1.33,2.35,0.41,0.95,1.38,1.16,0,0.88,0,0,0.53,0,0.67,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
happiness,0,05080.jpg,1.78,1.23,0,0,1.33,3.12,0.73,0.88,1.41,0.66,0,0.73,0,0,0.68,0,0.64,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,0,05081.jpg,1.33,1.11,0.18,0.67,1.3,2.57,1.37,1.03,1.26,1.39,0.06,1.03,0,0,1.24,0,1.52,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
happiness,0,05082.jpg,0.7,0.9,0.18,0.81,0.95,1.31,1.11,0.94,0.96,1.66,0.06,0.69,0,0,1.22,0.52,1.21,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
neutral,2,05083.jpg,0.6,0.54,0.18,0.81,0.46,1.59,0.77,0.83,0.38,1.58,0.06,0.54,0,0,1.17,1.26,1.17,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
neutral,2,05084.jpg,0.7,0.5,0,0.14,0.16,1.42,0,0.44,0.08,0.85,0,0.38,0,0,0.61,1.97,1.04,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
neutral,2,05085.jpg,1.22,0.26,0.04,0.69,0.16,1.42,0,0.44,0.11,0.58,0.6,0.64,0,0,0.59,1.91,0.86,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
neutral,2,05086.jpg,1.22,0.26,0.63,0.69,0.31,1.48,0.05,0,0.06,0,0.6,0.6,0.09,0,0.22,1.48,0.95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
neutral,2,05087.jpg,0.88,0.08,0.63,0.69,0.86,1.98,0.09,0.21,0.73,0.04,0.6,0.34,0.09,0,0.95,1.25,0.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
happiness,0,05088.jpg,0.08,0,0.72,0.03,0.87,1.98,0.09,0.53,0.81,0.07,0.09,1.16,0.09,0,1.3,1.17,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
neutral,2,05089.jpg,0.08,0,0.19,0.14,0.95,0.88,0.04,0.75,0.88,0.07,0.09,1.71,0.41,0.49,1.56,1.45,0.21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
happiness,0,05090.jpg,0.08,0.1,0.44,0.14,0.4,0.47,0,0.54,0.27,0.06,0.09,2.01,0.41,0.88,0.98,1.9,0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
neutral,2,05091.jpg,0,0.1,0.44,0.11,0.45,0.47,0,0.45,0.16,0.29,0,1.64,0.49,1.46,0.64,2.13,0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
neutral,2,05092.jpg,0,0.1,0.79,0,0.06,0.23,0,0.23,0.09,0.37,0,1.14,0.08,0.97,0.98,2.57,0.4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
neutral,2,05093.jpg,0,0,0.54,0.18,0.06,0,0,0.23,0.13,0.43,0,0.84,0.08,0.59,1.4,2.21,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
neutral,2,05094.jpg,0.15,0,1,0.18,0.28,0.26,0,0.35,0.22,0.68,0,0.76,0,0,1.4,2.13,0.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
