emotion,emo,file, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
happiness,1,01556.jpg,0,0,0.43,0.01,1.32,0.65,1.04,1.09,1.28,1.07,1.16,0.27,0.31,0,2.96,0.55,0.34,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01557.jpg,0.18,0,0.41,0.2,0.56,0,0.55,0.75,1.06,1.53,0.63,0.55,0.31,0.16,2.15,0.55,0.11,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01558.jpg,0.19,0,0.53,0.2,0.13,0,0.23,0.41,1.38,1.54,0.29,0.28,0,0.16,1.6,0.45,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01559.jpg,0.47,0,0.28,0.27,0.31,0,0,0.41,1.6,1.82,0,0.61,0,0.34,0.38,0.16,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01560.jpg,0.29,0,0.18,0.07,0.88,0.23,0,0.96,1.89,1.2,0.29,0.87,0,0.71,0.34,0.16,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01561.jpg,0.51,0,0.05,0.07,0.84,0.23,0,0.91,1.76,0.96,0.29,0.87,0,0.71,0.26,0.16,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01562.jpg,0.49,0,0.05,0,1.26,0.23,0,1.27,2.04,0.91,0.38,0.61,0.18,0.53,1.1,0,0.03,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01563.jpg,0.5,0.05,0,0.08,0.69,0,0,0.59,1.29,0.73,0.15,0.36,0.18,0,1.14,0,0.18,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
neutral,3,01564.jpg,1.21,0.42,0.28,0.08,1.53,0.26,0,0.92,1.96,1.18,0.15,0.69,0.18,0,1.38,0,0.18,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01565.jpg,1.48,0.44,0.29,0.08,1.39,0.26,0.01,0.88,1.69,1.45,0.22,1.46,0,0,0.54,0,0.32,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
neutral,3,01566.jpg,2.01,0.85,0.29,0,1.5,0.26,0.01,1.13,2.16,2.31,0.38,1.43,0,0,0.68,0,0.17,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01567.jpg,1.07,0.48,0.01,0,1.15,0.16,0.01,1.16,2,1.78,0.38,1.31,0,0,0.84,0,0.35,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01568.jpg,1.19,0.46,0,0,1.07,1.11,0,1.43,2.22,1.93,0.22,0.47,0.07,0,1.27,0,0.44,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01569.jpg,1.55,0,0,0,1.23,1.95,0.08,1.35,2.13,1.29,0,0.31,0.27,0,1.09,0,0.66,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01570.jpg,1.64,0,0.54,0,1.43,2.98,0.08,1.49,1.94,1.59,0.02,0.1,0.27,0,1.51,0.49,0.9,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01571.jpg,1.09,0,0.75,0,1.14,2.49,0.08,1.54,1.65,1.08,0.02,0.1,0.2,0.01,2.11,1.08,0.98,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01572.jpg,0.19,0,0.75,0,1.42,1.97,0,1.94,1.87,1.46,0.02,0.34,0.03,0.22,2.64,1.75,0.75,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01573.jpg,0.11,0,0.21,0,1.16,0.78,0,1.92,2.13,1.65,0,0.34,0.03,0.22,2.22,1.32,0.53,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01574.jpg,0,0,0,0,1.76,1.44,0,1.68,2.37,1.86,0,0.34,0.03,0.21,1.65,0.83,0.69,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01575.jpg,0.87,0.02,0,0,1.23,1.13,0,1.78,2.26,1.26,0,0.15,0,0,1.82,0.56,0.89,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
neutral,3,01576.jpg,1.38,0.02,0,0,0.98,1.13,0,1.38,1.8,0.68,0.07,0.29,0,0,2.47,0.49,1.38,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01577.jpg,1.38,0.02,0.72,0,0.77,0.7,0,1.83,1.41,0.22,0.4,0.82,0.1,0,2.6,0.4,0.88,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,01578.jpg,0.67,0,0.87,0,1.11,1.12,0,1.63,1.57,1.03,0.42,0.68,0.1,0,2.36,0,0.68,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
happiness,1,01579.jpg,0.16,0,1.15,0.02,0.95,1.31,0,1.95,1.45,0.81,0.34,0.78,0.1,0,1.95,0.23,0.01,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
happiness,1,01580.jpg,0.3,0,0.65,0.05,0.48,1.12,0,1.43,1.22,1.24,0.29,0.25,0.31,0,2.18,0.23,0.01,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
happiness,1,01581.jpg,0.75,0.57,0.51,0.05,0.63,0.71,0,1.4,0.83,0.89,0.34,0.78,0.31,0,2.1,0.23,0.08,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
happiness,1,01582.jpg,1.41,1.01,0.23,0.03,0.63,1.09,0.12,1.17,0.91,1.3,0.45,0.64,0.31,0,1.69,0,0.3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01583.jpg,1.54,1.31,0.01,0,0.93,1.46,0.51,1.21,1.45,0.94,0.27,0.64,0,0,1.22,0,0.9,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01584.jpg,1.48,1.29,0,0,0.43,1.86,0.51,1.04,1.77,0.57,0.36,0.56,0,0.06,0.9,0,0.83,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01585.jpg,1.3,0.85,0.06,0,0.77,1.78,0.98,0.9,1.91,1.04,0.46,0.53,0,0.06,1.5,0,0.6,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
happiness,1,01586.jpg,1.03,0.65,0.06,0,0.98,1.22,0.59,0.78,1.97,1.54,0.36,0.81,0,0.21,1.84,0.16,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1
neutral,3,01587.jpg,0.92,0.09,0.09,0,1.11,0.9,0.87,0.82,1.33,1.44,0.85,0.71,0.21,0.14,1.86,0.67,0.2,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
neutral,3,01588.jpg,0.57,0.09,0.32,0,0.7,0.66,0.41,1.1,1.11,0.57,0.64,0.94,0.21,0.14,0.96,1.16,0.2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
neutral,3,01589.jpg,0.95,0.48,0.76,0,0.34,0.33,0.41,1.14,0.46,0.09,1.12,1.02,0.32,0,0.48,1.01,0.46,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
neutral,3,01590.jpg,2,1.11,0.74,0,0.21,0.32,0.28,0.91,0.7,0.09,0.84,0.64,0.11,0,0.94,0.68,0.26,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
neutral,3,01591.jpg,2.28,1.35,0.45,0,0.68,0.51,0.23,0.67,0.98,0.44,0.84,0.44,0.11,0,1.67,0.19,0.36,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
happiness,1,01592.jpg,2.18,0.94,0.01,0.05,0.77,0.51,0.23,0.72,1.52,0.88,0.37,0.37,0,0,2.03,0.62,0.09,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01593.jpg,1.2,0.31,0,0.05,1.5,1.29,0.31,1.7,2.22,1.32,0.33,0.37,0,0,2.46,0.43,0.09,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
happiness,1,01594.jpg,1.05,0.07,0,0.05,0.99,1.03,0.5,1.38,1.71,1.6,0.33,0.28,0,0,1.52,0.43,0.28,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,01595.jpg,1.05,0,0.24,0.01,0.73,1.14,0.5,1.06,1.17,1.08,0.32,0,0,0,1.07,0.48,0.28,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
neutral,3,01596.jpg,0.59,0,1.15,0.01,0.28,0.62,0.61,0.43,0.19,1.38,0,1.09,0.52,0.51,0.26,0.48,0.8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
neutral,3,01597.jpg,0.34,0,1.15,0.01,0.54,0.5,0.33,0.83,0.82,1.49,0,1.25,0.52,0.6,0.61,0.48,0.51,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
happiness,1,01598.jpg,0.06,0,0.91,0,0.54,0.38,0.33,0.83,0.82,1.85,0,1.81,0.52,0.6,0.69,0,1.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,01599.jpg,0.73,0.07,0.35,0.09,0.26,0.59,0.04,0.48,0.82,1.11,0.36,1.13,0,0.09,0.99,0.13,1.15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
neutral,3,01600.jpg,0.73,0.68,0.54,0.61,0,0.54,0.04,0.08,0,0.35,0.36,1.22,0,0,0.89,0.79,1.15,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
anger,2,01601.jpg,0.73,0.68,1.21,0.61,0,0.69,0.04,0.42,0,0.21,0.36,1.35,0.53,0.54,1.17,1.61,0.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
neutral,3,01602.jpg,0,0.61,0.86,0.52,0,0.15,0.04,0.34,0,0.21,0.3,0.94,0.53,0.54,1.44,1.82,0.03,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
neutral,3,01603.jpg,0.55,0.23,1.06,0.03,0,0.15,0.04,0.34,0,0.22,0.53,1.17,0.53,0.54,1.49,1.31,0.03,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
neutral,3,01604.jpg,0.55,0.23,0.68,0.03,0.18,0.26,0.29,0.71,0.45,0.16,0.6,0.49,0,0,1.47,0.84,0.35,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
happiness,1,01605.jpg,0.69,0.55,0.71,0.05,0.18,0.26,0.25,0.93,0.46,0.16,0.29,0.54,0,0,0.75,0.58,0.41,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
neutral,3,01606.jpg,0.15,0.32,0.33,0.02,0.71,0.41,0.39,1.74,1,0.43,0.23,0.5,0,0,0.91,0.43,0.75,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
happiness,1,01607.jpg,0.15,0.32,0.31,0.02,1.13,0.35,0.77,1.65,0.82,0.63,0.81,1.12,0,0,0.46,0.1,0.57,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
neutral,3,01608.jpg,0,0.26,0.28,0.39,1.27,0.35,0.77,1.42,1.13,1.14,0.81,1.56,0,0.38,0.5,0.2,0.56,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
neutral,3,01609.jpg,0,0.29,0.28,0.39,0.73,0.2,0.62,0.62,0.59,0.87,0.65,1.23,0,0.38,0.86,1.7,0.6,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
neutral,3,01610.jpg,0,0.29,0.08,0.39,0.21,0.02,0.24,0.13,0.4,1.26,0.15,1.06,0,0.95,0.93,1.67,0.43,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
neutral,3,01611.jpg,0,0.04,0.47,0,0.07,0.2,0.24,0.32,0.08,0.83,0.15,1,0.1,0.57,1.58,2.27,1.32,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
neutral,3,01612.jpg,0.93,0.04,0.85,0.05,0.07,0.2,0.24,0.32,0.08,1.1,0.8,1.03,0.1,0.99,1.07,0.99,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3,01613.jpg,0.93,0.04,0.77,0.05,0.73,0.87,0,0.66,0.84,0.72,0.65,0.57,0.1,0.83,1.66,1.16,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happiness,1,01614.jpg,1.21,0.04,0.38,0.05,0.91,1.21,0,0.57,1.45,0.74,0.65,0.84,0,1.35,1.03,0.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,01615.jpg,0.59,0.53,0.01,0.1,0.91,1.21,0,0.87,1.67,0.79,0,0.69,0,0.93,1.13,0.81,0.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3,01616.jpg,0.59,0.53,0.01,0.1,0.33,0.52,0,0.45,0.82,0.81,0.1,0.92,0,0.51,0.86,1.07,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
neutral,3,01617.jpg,0.31,0.53,0.48,0.1,0.73,0.05,0.38,0.82,0.48,0.76,0.17,0.34,0.02,0,1.71,1.15,0.65,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
happiness,1,01618.jpg,0,0,0.8,0,0.99,0.05,0.8,0.93,0.29,0.56,0.39,0.42,0.02,0,1.96,1.19,0.37,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
happiness,1,01619.jpg,0,0,1.4,0,1.79,0.88,1.03,1.85,1.05,1.02,0.29,0.32,0.12,0,2.61,1.15,0.25,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
happiness,1,01620.jpg,0,0,0.93,0.11,1.58,0.83,0.72,1.57,0.88,1.55,0.58,0.47,0.36,0,1.95,1,0.19,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
neutral,3,01621.jpg,0.13,0,0.92,0.11,1.73,1.35,0.31,1.69,0.97,2.07,0.67,0.39,1.17,0,1.82,1.25,0.19,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0
happiness,1,01622.jpg,0.13,0,0.8,0.11,1.09,0.51,0.31,0.99,0.21,1.45,0.96,0.26,1.42,0,1.13,0.93,0.19,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
neutral,3,01623.jpg,0.13,0,1.19,0,1.18,1.12,0.37,1.66,0.32,1.58,0.6,0,1.15,0,1.37,0.85,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0
neutral,3,01624.jpg,0,0,1.38,0,1.63,0.71,0.66,2.15,0.87,1.2,0.58,0.14,0.34,0,2.1,0.21,0.67,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0
happiness,1,01625.jpg,0,0,1.35,0,2.14,0.96,0.54,2.66,1.42,1.38,0.36,0.21,0.21,0.09,2.86,0.13,1.04,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0
happiness,1,01626.jpg,0,0,1.57,0,2.04,0.6,0.8,2.09,1.22,0.66,1.03,0.55,0.3,0.09,3,0.22,1.7,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
happiness,1,01627.jpg,0,0,1.28,0,1.86,1.12,0.51,1.45,1.12,0.68,0.9,0.51,0.32,0.09,1.9,0.22,1.03,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
happiness,1,01628.jpg,0,0,1.47,0,1.39,1.07,0.39,1.43,0.94,0.33,1.47,0.74,0.51,0,1.32,0.41,0.66,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
happiness,1,01629.jpg,0.35,0,0.9,0,1.23,1.72,0.24,1.48,1.4,0.46,0.79,0.46,0.43,0,1.47,0.68,0.06,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
happiness,1,01630.jpg,0.35,0,1.13,0,1.01,1.34,0.24,1.39,1.16,0.45,0.63,0.6,0.6,0.14,1.63,1.17,0.06,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
happiness,1,01631.jpg,0.35,0,1.11,0,1.28,1.37,0.4,1.56,1.48,0.8,0.06,0.63,0.19,0.14,1.91,1.18,0.28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
happiness,1,01632.jpg,0,0,1.06,0,1.39,1.2,0.17,1.36,1.02,0.68,0.34,1.02,0.29,0.14,1.19,0.94,0.4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
neutral,3,01633.jpg,0,0,0.61,0,1.18,0.95,0.17,1.48,0.81,1.13,0.34,0.89,0.1,0,1.21,0.78,0.4,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0
neutral,3,01634.jpg,0,0,0.05,0.23,1.23,0.75,0.29,1.68,0.79,1.08,0.64,0.93,0.13,0,1.38,0.74,0.37,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0
happiness,1,01635.jpg,0,0,0.84,0.23,1.32,0.33,0.28,1.78,0.79,1.25,1.36,0.76,0.13,0,2.58,1.79,0.69,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1
neutral,3,01636.jpg,0,0,1.14,0.23,1.85,1.48,0.28,1.37,0.83,0.65,1.39,1.07,0.13,0,2.24,1.45,1.61,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
neutral,3,01637.jpg,0.02,0,1.27,0,2.3,2.67,0,1.07,1,0.84,1.03,1.07,0.34,0,1.68,1.33,1.43,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1
happiness,1,01638.jpg,0.02,0,0.94,0,2.31,2.37,0,0.85,1.36,0.74,0.03,1.48,0.25,0.39,0.63,0.26,0.92,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1
neutral,3,01639.jpg,0.02,0,0.64,0,1.62,1.51,0,0.86,1.48,0.68,0,1.74,0.74,0.39,0.71,0.4,0.7,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1
sadness,4,01640.jpg,0.09,0.06,0.46,0,0.88,1.65,0.25,0.05,0.63,0.39,0.33,2.23,0.64,0.39,0.28,0.55,0.7,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1
neutral,3,01641.jpg,0.09,0.06,0.36,0,0.77,2.52,0.25,0.58,0.46,0.72,0.33,1.74,0.74,0,0.43,0.71,0.93,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
happiness,1,01642.jpg,0.17,0.06,0.36,0,0.74,2.33,0.25,0.79,0.45,1.19,0.73,2.31,0.59,0.56,0.35,1.28,0.22,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
neutral,3,01643.jpg,0.08,0,0.61,0,0.4,1.71,0,0.77,0.45,0.93,0.4,2.25,0.82,0.56,0.44,1.8,0.22,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
neutral,3,01644.jpg,0.19,0,0.27,0,0.12,1.46,0,0.58,0.26,0.62,0.4,2.19,1.06,0.56,0.29,1.89,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
neutral,3,01645.jpg,0.26,0,0.27,0.18,0.09,1.36,0,0.37,0,0.1,0.01,1.69,0.71,0,0.55,1.71,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
neutral,3,01646.jpg,0.26,0,0.02,0.18,0.04,0.77,0,0.53,0,0.1,0.01,1.57,0.33,0,0.7,2.07,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
neutral,3,01647.jpg,0.15,0,0.1,0.18,0.27,0.55,0,0.24,0,0,0.01,2.16,0.32,0,1.31,2.03,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
neutral,3,01648.jpg,0,0,0.21,0,0.27,0.89,0,0.29,0,0,0,2.1,0.37,0,1.54,2.14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
neutral,3,01649.jpg,0.09,0,0.21,0,0.31,1.29,0,0.4,0,0.19,0.49,2.1,0.56,0,1.37,1.44,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
neutral,3,01650.jpg,0.09,0,0.11,0,0.11,0.88,0,0.36,0.18,0.28,0.53,1.9,0.44,0,0.68,1.61,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
neutral,3,01651.jpg,0.09,0,0,0,0.11,0.53,0,0.31,0.33,0.56,0.62,1.62,0.4,0,0.19,1.08,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,01652.jpg,0.57,0.13,0,0,0.07,0.3,0,0.03,0.33,0.57,0.28,1.53,0.21,0,0.32,1.29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,01653.jpg,0.69,0.13,0.06,0,0.58,0.97,0.14,0.43,0.54,0.83,0.28,1.61,0.27,0.16,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,01654.jpg,0.69,0.21,0.06,0,1.12,1.49,0.41,0.82,0.7,0.57,0.65,2.08,0.39,0.16,0.2,0.69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,01655.jpg,0.12,0.08,0.06,0,1.58,1.91,0.41,1.52,1.04,1.12,0.5,2.14,0.52,0.16,0.01,0.66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,01656.jpg,0,0.08,0.62,0,1.26,2.44,0.26,1.55,0.65,0.77,0.46,2.18,0.35,0.57,0,1.01,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
anger,2,01657.jpg,0,0,1.33,0,1.17,2.41,0,1.27,0.45,0.86,0,2.18,0.91,1.1,0,1.08,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
neutral,3,01658.jpg,0,0,1.93,0,1.1,2.54,0,1.07,0.22,0.44,0.31,2.12,0.89,1.38,0,0.54,0.29,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
neutral,3,01659.jpg,0,0,1.44,0,0.85,1.34,0,0.69,0.23,0.44,0.31,1.8,0.79,0.81,0.2,0.07,0.29,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
neutral,3,01660.jpg,0,0,0.73,0,1.11,0.86,0,1.33,1.25,1.04,0.49,0.93,0.12,0.3,0.27,0.08,0.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
happiness,1,01661.jpg,0.78,0.12,0.17,0.32,0.72,0.44,0,0.82,1.13,0.91,0.26,0.65,0.2,0.3,0.27,0.69,0.11,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
neutral,3,01662.jpg,1.61,0.7,0.39,0.32,0.86,1.16,0,0.75,1.22,1.02,0.26,0.64,0.41,0.4,0.41,1.63,0.48,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
neutral,3,01663.jpg,1.95,0.73,0.82,0.32,0.14,1.16,0,0.31,0.18,0.67,0.4,0.95,0.41,0.51,0.33,1.73,0.37,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,01664.jpg,1.17,0.61,0.97,0,0.46,1.9,0.5,0.55,0.43,0.81,0.32,0.83,0.21,0.85,0.4,1.6,0.73,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
happiness,1,01665.jpg,0.34,0.03,0.64,0,1.01,2.04,0.85,1.07,1.1,1.68,0.32,0.73,0,0.76,0.26,0.66,0.37,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
happiness,1,01666.jpg,0.14,0,0.21,0,1.35,2.56,0.96,1.02,1.18,1.72,0,0.77,0.26,0.63,0.89,1.14,0.48,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
neutral,3,01667.jpg,0.53,0,0.25,0,1.35,2.32,0.46,1.3,1.11,1.86,0.12,1.43,0.5,0.01,0.83,0.88,0.39,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
neutral,3,01668.jpg,0.53,0,0.31,0,0.97,1.94,0.26,1.15,0.5,1.09,0.37,1.29,0.51,0.01,1.41,0.88,0.39,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
happiness,1,01669.jpg,0.4,0,0.71,0,0.63,1.84,0.15,1.05,0.48,0.8,0.44,1.05,0.25,0.01,1.2,0.51,0.27,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
happiness,1,01670.jpg,0,0,0.63,0,0.76,1.18,0.19,0.96,0.78,0.77,0.54,0.62,0.01,0.04,1.42,0.29,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
happiness,1,01671.jpg,0.08,0,0.54,0,1.2,1.36,0.42,0.88,1,0.64,0.78,0.91,0.55,0.04,0.64,0.29,0.11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
happiness,1,01672.jpg,0.08,0,0.6,0.12,1.46,1.42,0.43,1.06,1.01,0.7,1.1,0.81,0.55,0.04,0.93,0.09,0.11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
happiness,1,01673.jpg,0.19,0,0.44,0.12,1.06,1.33,0.39,1.29,0.78,0.22,0.89,0.86,0.67,0,0.94,0.3,0.11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
neutral,3,01674.jpg,0.49,0,0.44,0.12,0.31,0.96,0,1.44,0.4,0.14,1,1.09,0.45,0,1.22,1.01,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
neutral,3,01675.jpg,0.49,0,0.22,0,0.06,0.7,0,1.31,0.26,0.06,0.61,1.43,0.6,0.32,0.51,0.92,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,01676.jpg,0.94,0,1.13,0,0,0.5,0,0.87,0,0.35,0.61,1.34,0.5,0.77,0.27,0.97,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,01677.jpg,0.56,0,1.39,0,0,0.21,0,0.41,0,0.47,0.06,1,0.17,0.77,0.71,0.46,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,01678.jpg,0.56,0,1.17,0,0,0,0,0.2,0,0.63,0.06,0.66,0.04,0.45,0.71,0.87,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,01679.jpg,0.31,0,0.32,0,0.02,0.82,0,0,0,0.34,0.06,0.26,0.03,0,0.94,1.43,0.04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
